station,lat,lon,mean_demand,cluster_id,cluster_label
Marché Maisonneuve,45.55321884238814,-73.53978216648102,7.13,0,low
Marie-Anne / Papineau,45.53176697148175,-73.5724139213562,10.76,2,medium
Marie-Anne / St-Hubert,45.5246829812827,-73.5788968205452,9.27,0,low
Marie-Anne / de la Roche,45.52755050760189,-73.5762870311737,10.06,2,medium
Marmier / St-Denis,45.53089712394969,-73.59849069951312,9.91,2,medium
Marquette / Laurier,45.53543,-73.5822,12.59,2,medium
Marquette / Rachel,45.52983801723605,-73.5703244805336,14.37,2,medium
Marquette / du Mont-Royal,45.53221791147474,-73.57543140649796,27.08,1,high
Masson / Molson,45.54434593245247,-73.57697686180472,8.98,0,low
McGill / Place d'Youville,45.500014581102505,-73.55625258141116,8.54,0,low
McGill / Wellington,45.499447710650415,-73.55489909648894,6.65,0,low
McTavish / Sherbrooke,45.50277615861811,-73.57589408755302,15.01,2,medium
Melville / de Maisonneuve,45.48184019359366,-73.59537899494171,8.92,0,low
Messier / St-Joseph,45.53946063965585,-73.57605636119843,4.6,0,low
Messier / du Mont-Royal,45.53711414,-73.5710031,12.38,2,medium
Metcalfe / de Maisonneuve,45.5017756015871,-73.5742858025577,7.48,0,low
Milton / Durocher,45.508140959417744,-73.57492983341217,13.33,2,medium
Milton / St-Laurent,45.512911435737934,-73.57057040229131,8.97,0,low
Milton / University,45.50651983995355,-73.57640504837036,17.39,1,high
Milton / du Parc,45.50936142835129,-73.57386365532875,12.94,2,medium
Molson / Beaubien,45.54974035379354,-73.59125352751727,6.67,0,low
Molson / William-Tremblay,45.541602844435374,-73.56496073305605,8.0,0,low
Montcalm / Ontario,45.52110494530867,-73.56229394674301,11.68,2,medium
Montcalm / de Maisonneuve,45.519131967116216,-73.55788965214742,9.19,0,low
Mozart / St-Laurent,45.53328624709234,-73.61546382309369,8.03,0,low
Murray / Wellington,45.49225247724067,-73.55850666761398,10.73,2,medium
Métro Atwater (Atwater / Ste-Catherine),45.48951112640976,-73.5844894103626,16.94,1,high
Métro Beaubien (de Chateaubriand / Beaubien),45.5353599615622,-73.60363483428955,20.71,1,high
Métro Beaudry (Beaudry / Ste-Catherine),45.51888453178292,-73.55593845248222,10.34,2,medium
Métro Charlevoix (Charlevoix / Centre),45.478400643667705,-73.56917751956644,11.87,2,medium
Métro Crémazie (Crémazie / Lajeunesse),45.54640752148169,-73.63842844963074,6.05,0,low
Métro Côte-des-Neiges (Jean-Brillant / de la Côte-des-Neiges),45.4955375395181,-73.6222583055769,8.57,0,low
Métro Frontenac (Ontario / du Havre),45.53370598779895,-73.55217933654784,9.86,2,medium
Métro Jarry (Lajeunesse / Jarry),45.54355974189168,-73.62777203321457,14.22,2,medium
Métro Jean-Talon (Berri / Jean-Talon),45.53900036432657,-73.6142510175705,9.6,0,low
Métro Joliette  (Hochelaga / Joliette),45.54699194653282,-73.55115339159964,9.2,0,low
Métro Lasalle (de Rushbrooke / Caisse),45.47039991066639,-73.56551858292733,8.67,0,low
Métro Laurier (Berri / St-Joseph),45.52723106564012,-73.58672618865965,5.92,0,low
Métro Lionel-Groulx (St-Jacques / Atwater),45.48295816149219,-73.57975836854166,9.37,0,low
Métro Lucien-L'Allier (Lucien l'Allier / Argyle),45.49487159597493,-73.57112377882004,6.37,0,low
Métro Mont-Royal (Utilités publiques / Rivard),45.52423757149867,-73.5815668511771,28.07,1,high
Métro Papineau (Dorion / De Maisonneuve),45.5238445756922,-73.55236601831164,16.73,1,high
Métro Parc  (Hutchison / Ogilvy),45.53035130173596,-73.6243924498558,7.97,0,low
Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,17.35,1,high
Métro Pie-IX (Pierre-de-Coubertin / Desjardins),45.55437339981968,-73.55137467384337,9.44,0,low
Métro Place Saint-Henri (St-Ferdinand / St-Jacques),45.47728092665489,-73.58730420470238,11.21,2,medium
Métro Place-d'Armes (Viger / St-Urbain),45.50631445605528,-73.55967122894072,9.32,0,low
Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance),45.50820461505136,-73.56881439685822,12.32,2,medium
Métro Préfontaine (Préfontaine / Hochelaga),45.54223860377225,-73.55452115096755,8.72,0,low
Métro Rosemont (de St-Vallier / Rosemont),45.53187465852772,-73.59785010910731,9.75,0,low
Métro Sauvé (Berri / Sauvé),45.55069206841976,-73.65636706352234,6.41,0,low
Métro Sherbrooke (de Rigaud / Berri),45.51814312154928,-73.56800436973572,12.56,2,medium
Métro St-Laurent (de Maisonneuve / St-Laurent),45.51074821798916,-73.56512099504471,19.75,1,high
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),45.50363996257211,-73.6182689666748,8.77,0,low
Métro Vendôme (de Marlowe / de Maisonneuve),45.47393028235147,-73.60473453998564,14.98,2,medium
Métro Verdun (Willibrord / de Verdun),45.45944333437158,-73.57249031501546,8.07,0,low
Métro Viau (Pierre-de-Coubertin / Viau),45.562285987396756,-73.54622720890242,8.28,0,low
Métro de Castelnau (de Castelnau / St-Laurent),45.53552563367942,-73.61981123685837,7.85,0,low
Métro de l'Église (Ross / de l'Église),45.462834019302996,-73.56590006268222,8.01,0,low
Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy),45.5102725432849,-73.61140972936482,7.94,0,low
Notre-Dame / St-Martin,45.48830194643546,-73.56871783733366,7.35,0,low
Omer-Lavallée / du Midway,45.54577595286641,-73.56217458844185,5.8,0,low
Ontario / Sicard,45.55626186680846,-73.53744059801102,6.16,0,low
Ottawa / William,45.48972725318433,-73.56406286358833,5.97,0,low
Ottawa / du Séminaire,45.4912954250061,-73.56159925460815,9.71,0,low
Panet / Ste-Catherine,45.52002694113141,-73.55491255538035,6.2,0,low
Parc Hilda-Ramacière (de Bullion / Prince-Arthur),45.51562131982338,-73.57212960720062,8.82,0,low
Parc Jean-Drapeau (Chemin Macdonald),45.512470265414784,-73.53212228978008,18.48,1,high
Parc Jeanne-Mance (du Mont-Royal / du Parc),45.5169127969416,-73.58911214946565,11.46,2,medium
Parc Jeanne-Mance (monument sir George-Étienne-Cartier),45.51487490356938,-73.58486406505108,11.93,2,medium
Parc Lalancette (de Rouen / Valois),45.54814504700217,-73.5471260547638,7.12,0,low
Parc Ludger-Duvernay (St-André / St-Hubert),45.53147464147482,-73.59242051839828,5.75,0,low
Parc Maisonneuve (Viau / Sherbrooke),45.56493679334249,-73.5555911064148,8.52,0,low
Parc Molson (d'Iberville / Beaubien),45.54902230455397,-73.59198164194822,4.96,0,low
Parc Père-Marquette (Chambord / Rosemont),45.53708783301333,-73.59321847558022,9.3,0,low
Parc St-Patrick (St-Patrick / St-Columban),45.48870785150952,-73.55899317193689,7.94,0,low
Parc Villeray (Christophe-Colomb / Jarry),45.54851320767612,-73.62365484237671,4.63,0,low
Parc du Pélican (1ere Ave / Masson),45.54518840394769,-73.57644259929657,12.33,2,medium
Parthenais / Larivière,45.53025954525953,-73.55784621096973,8.46,0,low
Parthenais / du Mont-Royal,45.53640396516409,-73.57141345739365,12.71,2,medium
Peel / Notre-Dame,45.49544692088696,-73.56329441070557,11.03,2,medium
Peel / Ottawa,45.49419955357054,-73.55998456478119,19.03,1,high
Pierre-de-Coubertin / Aird,45.55903106539297,-73.54830354452133,6.6,0,low
Place Valois (Valois / Ontario),45.54707559891112,-73.54325228981816,7.9,0,low
Place des Festivals (du Président-Kennedy / de Bleury),45.50764392965887,-73.56932401657104,10.89,2,medium
Place du Canada (Peel / des Canadiens-de-Montréal),45.497796481566326,-73.5682545016733,8.74,0,low
Plessis / Ontario,45.523593057451045,-73.56109768152237,8.97,0,low
Poupart / Ontario,45.53183672649831,-73.55348825454712,5.73,0,low
Prince-Arthur / St-Urbain,45.51262123436571,-73.5737282037735,9.64,0,low
Prince-Arthur / du Parc,45.51045744294153,-73.57558307610728,19.26,1,high
Queen / Wellington,45.49760078213193,-73.55532241188904,7.78,0,low
Querbes / Laurier,45.5174465135096,-73.59779638805142,6.86,0,low
Rachel / de Brébeuf,45.5269076643125,-73.5726904831865,9.08,0,low
René-Lévesque / Papineau,45.52097057660443,-73.5499919950962,6.22,0,low
Richardson / Montmorency,45.48496606116476,-73.56032252311707,8.22,0,low
Richmond / des Bassins,45.48752158511353,-73.56500297784805,13.58,2,medium
Rivard / du Mont-Royal,45.5245589565321,-73.58263313770294,21.37,1,high
Robert-Bourassa / René-Lévesque,45.5021829099012,-73.56825381517409,6.37,0,low
Robert-Bourassa / St-Maurice,45.49837045828952,-73.56055587530136,5.15,0,low
Ropery / Augustin-Cantin,45.48097552629275,-73.56863468885422,6.44,0,low
Roy / Saint-Laurent,45.51565182195085,-73.57577390039296,10.0,2,medium
Roy / St-André,45.521589854499716,-73.57037023615811,10.45,2,medium
Roy / St-Denis,45.51908,-73.5727,15.87,1,high
Ryde / Charlevoix,45.4757434,-73.5646007,5.47,0,low
Sanguinet / de Maisonneuve,45.51343052325528,-73.56261149898391,10.95,2,medium
Sewell / Roy,45.51467743947122,-73.57659816741943,7.51,0,low
Shearer / Centre,45.4828250990486,-73.56206325352105,6.02,0,low
Sherbrooke / Jeanne-d'Arc,45.55398156058887,-73.55496388156098,8.94,0,low
Smith / Peel,45.49276061084002,-73.55641052126883,15.21,2,medium
Square St-Louis (du Square St-Louis / Laval),45.516090801970655,-73.5701286792755,16.25,1,high
